text,stars,date
Great food  great service  great vibes  Happy to have you in Ahwatukee  Snooze  New  pancake of the day  everyday and lots of great weekend brunch drinks  OMG french toast is seriously O M G  ,5,2017-10-13
Oh sahhh  dude     The pineapple upside down pancakes are to die for    Thanks for the awesome breakfast and I m sure I ll be back for cakes and caps in a hop  skip  and a jump   ,5,2017-10-13
Well that was disappointing  Expensive for what you get      for a small side salad that had little of anything in it  A couple of purple carrot strips and some walnuts  Whee    I had a Rueben sandwich for about      Again  not bad but nothing special  Should have gone next door to Modern Market ,1,2017-10-14
What a fun place  Great decor  fun menu and even a full bar with multiple mimosa options and cafe cocktail  Not your typical breakfast only restaurant  I am just happy being here    I managed to get a healthy egg white with veggies omelette and a fresh OJ  But next time I will be more adventurous ,5,2017-10-14
We are thrilled to have a Snooze so close to home  Try the pumpkin spice pancakes  Yum ,5,2017-10-14
Pros  The service was good   Our family tried a variety of food  Loved the Mayan mocha  hash browns  pineapple upside down pancake  and steak Benedict    Cons  We sat on the patio and the music was too loud   Pancakes were a bit over sweet     Staff is hardworking and sincere  They look like they love their jobs which says a lot about management  Looking forward to our next visit   ,4,2017-10-15
Chili verde pork eggs Benedict was superb  as was the service  I love good music in an eatery  however  don t know if we will be back  The music was so loud that we found ourselves  all   of us  yelling at each other in order to have a conversation  Mentioned it when we arrived and they offered outside seating  which didn t help  Someone else must have complained bc just as we were checking out the music was turned down so that you could chat ,3,2017-10-15
My friend and I had brunch here today and had the good fortune of having Hyatt  yes  like the hotel chain  as our server  She was delightful   Be sure to ask for her when you arrive  She was friendly  efficient and full of life and positive vibes  Try the eggs Benedict or breakfast burrito  You won t be disappointed ,5,2017-10-17
Great breakfast place  Their pancake flight is fun if a bit decadent  Try the OMG French Toast as one of the   choices  It works well to share as an appetizer ,5,2017-10-18
Amazing food at a great price  The benedicts are amazing and the pancakes are out of this world  There is no breakfast place around that compares ,5,2017-10-18
I had lunch with a friend  and Hyatt was our server   First  Hyatt is absolutely awesome   She is attentive  caring  efficient  and really knows the menu and what to suggest   She also asked us about allergies  and since I have a major allergy  I really appreciated it   Thank You  Hyatt  for making my day   Second  the food is AMAZING   I had the Benedict Duo  and loved every bite   The food was hot  fresh  expertly plated  and portion sizes were perfect   I will definitely be returning to this restaurant   Thank You  Thank You  Thank You ,5,2017-10-18
Best Hash browns I have ever eaten at a breakfast place  HANDS Down  I eat the hash browns like twice a month  Lol,5,2017-10-19
Today was the first time eating here and I will      be back   The staff was very nice and on top of things   There was always someone walking by your table willing to help and the best part is you didn t feel as if it was a bother to them to help one another   I had a regular cup of coffee and it was perfect  not to weak or strong   I had the Bella  Bella  Benny and omg  it was was amazing   Try it  you won t regret it   My husband has The B E A T Sandwich and I got to try a bite   It was really good and he enjoyed it as well   We already have our next visit planned ,5,2017-10-20
It s hard to pick which is better the food  the drinks or the service  Everything on the menu far exceeds expectations and the staff is by far the friendliest in town  Guaranteed you ll leave satisfied  happy and feeling great ,5,2017-10-20
Amazing food and even better service  I was very excited to this opening and was immediately treated as if  everyday is my bday    star experience for any and all breakfast endeavors,5,2017-10-27
Definitely worth the wait to get in  and they have a great texting service that lets you wander around nearby shops while you wait   The staff is incredibly attentive and quick but it never seems rushed  The food was excellent    I got the Benedict duo  bella bella benny and chili verde   both of which were wonderful  The hash browns were divine and make sure whatever you get comes with a side of hash browns  Huge high recommendation  The menu was very varied and I wanted to try a million things  Absolutely will make a return trip ,5,2017-10-28
Best Eggs Benedict ever   And I normally don t eat hashbrowns but these were so favorable   I can t wait to come back and try their Bloody Mary s   Just come early   I arrived at      and sat at the counter   By      there was a wait list ,4,2017-10-29
Everything I ve tried at this place is delicious and is decently priced  They can also make almost anything gluten free  Service has been excellent every time I ve been here ,5,2017-10-29
I was thrilled to find they opened a location near my niece s home   We tried them for lunch  and as usual  the service was amazing  the venue light and airy    My niece was torn between the ham benedict and the pineapple upside down pancake   imagine her delight when she found you could substitute a pancake for the potatoes     I tried the Rueben sandwich and the corn beef was moist and downright yummy   This was the first time that I found the potato casserole to be spiced not to my liking   I couldn t quite identify what it was    Next time  I will substitute a side salad     Definitely back on my list ,5,2017-10-29
The service  was A  all due to Hayatt  She kept out drinks filled   Very knowledgeable about the menu  It was a good time  We will definitely be coming back ,5,2017-10-29
Before anything  the service was exceptional  The estimated wait time at prime time Brunch was about an hour  but it came out to    minutes  They have a text system that ll tell you your table is ready  so I did some grocery shopping in between  and held a table for my party when we came back    The food was excellent  the blueberry Danish pancakes came with pancakes of a formidable size  I paired it with a mm mm mimosa  quite delicious  Wife had the BEAT sandwich  just as delicious   The kids portions were very generous  looked big enough for an adult  The eggs were a bit bland though ,4,2017-10-29
