text,stars,date
Worth the line up   I m visiting Toronto and my local friends raved about this place so we went here after brunch  It was definitely worth the    minute walk and another     minute line up    First at the door  you re inundated with all the crazy possible combinations of ice cream flavours and cookies  The wait won t even feel that long after just reading the menu and trying to decide what you want  The only downside here is that because it s so small  you ll be waiting outside and when it s busy  which is apparently almost all the time   you re only allowed to sample one flavour  Which is too bad since there were so many unique flavours    I was lucky enough to actually get away with sampling    totaro and matcha genmaicha     Flavours  Matcha genmaicha was an interesting mix of the two   I think I d rather have these flavours separated  I ended up getting the totaro and olive pistachio  Totaro was amazing  and olive pistachio was good although the olive part isn t super strong  I want to go back and try a different flavour  but totaro is a keeper and sweeter than the olive pistachio  I got this with a half sized birthday flavour cookie which was soft and chewy  and a great combination with the ice cream    Friend who is gluten free always gets the vegan flavours and gluten free cookies  She loves going back to Bang Bang to get these and wishes they had more variety in vegan ice cream    Price  Like all hipster ice cream places these days  it s a little expensive but definitely worth it    I m tempted to make the long walk back here before leaving to try their bubble waffle   ice cream combo    definitely worth the visit ,5,2017-10-29
This place is amazing  I got the earl grey ice cream in the regular puff  The puff was crumbly on the outside and chewy on the inside and went perfectly with the earl grey   They have so many different flavours of ice cream and I can t wait to try them all ,4,2017-08-19
This little shop smells SO good when you walk inside  It s rustic ambiance is cute and they have a variety of gourmet ice cream  I got the waffle cone with raspberry and avocado ice cream  It was delicious  To the eye the waffle looks huge but between two people it s great  but surely can be eaten alone  Highly recommend for the sweet tooth addicts  ,5,2017-10-27
I don t understand the hype  but that s probably because I am not a huge ice cream fan in the first place  Came here on a weekday in the afternoon  there was no line and it was    degrees out so we thought eh why not  ice cream    Spent more     on two ice cream scoops in a cup and one ice cream sandwich  I had no clue the ice cream sandwich was gonna be THAT massive  I could only stomach     of it and I thought it was such a waste of money  It was overly sweet and while I enjoyed the first spoon it became too sugary for my taste  and I do love my sweets   I think I had flavors like cookies and cream and dulce de leche so that s probably why    We didn t know where to go to eat our already melting ice cream so we just sat on the sidewalk next to traffic  there is no indoor seating   All in all  a very meh experience  but at least we ve given it a try ,2,2016-07-16
This place is busy  Line up all the way out into the street  They have two lines  one for those who know what they are ordering  and another for first timers  or people who don t know what they want  I still haven t really figured out how these two line ups work  because everyone just forms one line  We waited about half an hour to get to the front  What can I say  well worth the wait  Their London Fog ice cream is amazing ,5,2015-05-02
Nothing is more exciting than ice cream on a cold and snowy day  We were super lucky to have got here right before the store closed  We ordered the lychee with raspberry ice cream inside the birthday cake and everything cookie  This place reminds me of Baked Bear in the west coast but with elevated ice cream  It was a great dessert after the play we saw across the street  This is a great spot for a date  I highly recommend it  It s also perfect after a dinner  The restaurants around the ice cream shop looked fancy and could really help you impress your date  ,5,2018-02-12
Tuesday     pm surprisingly short lineup for such a hot day   a rarity        for a half ice cream sandwich is a steal in this day and age  Everything about it was delicious and it was the perfect amount  I got the chocolate cookie with   choices of ice cream  London fog and golden oreo  So many flavors to choose from ,5,2018-08-15
The ice cream sandwiches are great   the cookies are thin and not very sweet  which is a good thing   and there is a big variety of unique ice cream flavours   The only thing i did not like about this place is how slow the service is   Wait time is typically over   mins  more on weekends with nice weather  ,4,2016-07-17
Bang Bang into my mouth  I know you want it   Forgive the parody of the Jessie J song  but yes  Bang Bang is really good  Ice cream of many kinds  cream puffs  cookies and HK WAFFLES  CAN YOU GET ANY BETTER THAN THAT    D   Not many places in Toronto do HK waffles  They do it well here  The ice cream flavours are interesting  different and not to mention delicious  The cookies are good too  and the ice cream sammies are excellent too    The only downside I ll say  is that it s somewhat difficult to find  I recommend Bang Bang on a nice summer day when you re walking in the neighbourhood   Bang Bang  that awesome sound  and taste   Bang Bang   ,5,2016-06-01
The lineup was unbelievably long  you would think that that must mean it s amazing   It honestly was not  I have tasted multiple ice cream sandwiches in Toronto that tasted better  Seems really overrated  However  it did not taste BAD  it just didn t meet up to my expectations ,2,2015-11-08
