text,stars,date
Outstanding meat  I ve been there twice  and I ordered the small flank steak plate both times  I wish I could say I m going to branch out in the future  but it s so flavorful that I can t make that promise  The small portion is definitely enough for dinner if you have a moderate appetite  To round out the meal  order an appetizer  I ve had the jamon plate with goat cheese  delicious   the roasted corn  delicious   and the fungos  The mushroom portion was a bit scant for     but they tasted great in combination with the meat   I definitely recommend stocking up on sauces while you wait for your food   the ajo is my favorite  Beware that there is essentially no very little seating at the restaurant  If you can snag a table outside that s great  otherwise there is just a little counter space inside   My one complaint is that there were a ton of flies on the patio area the first evening I was there  They were gross and distracted from the experience   but the food was good enough that I went back a second time within two weeks  BYOB ,5,2014-08-31
The food here is delicious and fairly priced  You can also have a sit down meal in less than an hour which is rare  Get the rosemary braised beef sandwich and load up on the sauces ,5,2018-09-11
It is hard for me to write this because I really wanted to enjoy this place  We ordered the ribeye  mixed veggies  the mixed plate of meat  and brussels sprouts  It cost about      The food came promptly and we dug in  only to find all of the meat cold  Not warm  cold as if it had been laying around for an hour  We were starving after having driven   hours from Allentown  so we just ate it anyway  It did taste pretty good  We told the busboy about the coldness when he asked  and he offered a free dessert  but as I am diabetic  I said no  So  I would have given this place maybe   or   stars  but then I got sick  Not food poisoning level sick  but bloated  gassy  and indigestion all day  A bit nauseous as well  I have a stomach of steel  too  I almost never get sick from food   Just know that this place isn t all that it is cracked up to be  even the cuts of strip steak had tons of fat and the veggies were unevenly cooked  And  if your food is cold  get your money back and run  We probably just had a fluke of a meal but still   ,2,2015-10-13
My new fav restaurant  Not for everyone  though   The only seating is a ledge around the outside of the small room   There are a few stools    The food is incredible   Rosemary beef sandwich    Yum    Chorizo    Tasty    Greens  very good   I really did start to crave more the next day     I only regret I didn t bring any beer for the staff   ,5,2015-03-08
Be prepared for a little tiny space  The staff is vey friendly and helpful  The food is very good  We brought our own bottle of wine and they supplied some wine glasses  A lot of fun ,4,2015-02-06
Several friends recommended Gaucho so i decided to check things out for my self    The first thing that caught my attention was the wood smoke aroma     theres some seating along the walls   With Additional seating outside   So I ordered a steak carna sandwich  and it was frigging amazing    The bread had the perfect texture  Not too heavy  kinda springy     The steak had been perfectly cooked  and had great smoked flavor  That wasn t overpowering   Overall great balance of smokey and spicy   If you plan to come around noon during the week   be prepared to wait as the line might be out the door   Yes   the wait is a slight inconvenience    But well worth the wait     if ya want to avoid the lunch rush I suggest   comming  around       or closer to    ,4,2013-07-27
Yes  Finally  I got to take someone here  I do not know why but whenever anyone visits this is my go to suggestion AND yet people sometimes say no because of the wait  Let me tell you each and every minute I wait is worth it  My aunt and uncle were in town for the baseball game  btw we won  and I suggested we go here  We were already in the Strip District so they said ok  We walked in and they were just wide eyed gaping at the menu not knowing what to try or where to even start  They kept on saying  wow it smell good  There was no wait  miracle   and we got a table right in front  I got us each of the dips and sat waiting for our food to come and them to be amazed    Accompa amientos  Maiz  Grilled Corn on the Cob  It was amazing as usual  I talked my aunt into getting one with me  She bit into it just saying  wow   that is good  It was sweet and grilled to perfection  Each time I get this corn there is nothing that I would add to it at all  My aunt added one of the sauces  or maybe a bit of all the sauces  to hers and really seemed to enjoy that mixture    Peque os  Provoletta  Sharp provolone grilled with arugula  lemon  and olives on toast   I did not order this my aunt did for her main course  She said that it was almost too much cheese  if that is even a real complaint  but it was grilled to perfection  She also realized after this dish that she like arugula  It looked good  It was a nice thick slab of cheese on their toasted bread  i loved the look of it and would love to try it on another visit    Con pan  Pescado Fish of the day w  lettuces  lemon  and caramelized onion   This is my jam  I get this all the time even though I always want to try new things  It is just so good  The onions are just perfection  Smokey and soft with the hint of the grill in them  The tilapia just grilled so that it flakes off in your mouth but stays together in the sandwich  The lettuce is abundant and so when things fall off the sandwich you also have a little side salad to go with it  The bread is just the best  Light and crusty    yummmmm  I would eat this everyday    Exclusivos  Cerdo  Pork tenderloin  caramelized onion  and spicy mustard  Served with a small casa salad and tostado  At the last minute after much back and forth my uncle decided on the LARGE plate of the cerdo  It was a mountain of pork  He got it and when he looked at the plate just goes  maybe I should have gone with the small  He said the meat was great and the side of spicy mustard was just the right kick to make the plate amazing  He really loved it    I always enjoy showing and bringing people to some of my favorite places around the  burg  I love it even more when the people love the places we get to try  I am so happy they had a great time and can not wait to go back ,5,2016-06-25
BYOB  No cork charge  Definitely a bonus  food is very delicious and staff is very friendly and fun ,5,2016-06-06
I m pretty much just piling on at this point  but everything you read about this place is true  It s ridiculously good  The filet was the most tender steak I ever had  My wife and I split everything  we also got a flank steak sandwich which was very good  and some empanadas which were also tasty  The sauces are king here  my favorite was the Ajo  garlic  but they are all good  Be prepared to wait  but it s BYOB so just drink outside while you wait ,4,2018-06-16
My boyfriend and I were walking past and couldn t ignore the delicious smell coming from the open front door  Everything was delicious and the folks here are  friendly   If you don t know what to get they re happy to recommend something  You could tell they all share a real sense of pride in the place and why not  The restaurant looks great and the sandwiches are killer ,5,2013-03-12
