text,stars,date
The food was GREAT  We like the look also  But some of the waitstaff could use some customer service   communication  We were seated      min later we were brought water  Then asked if the girl who brought us water took our drink order  which they did not  Once our order was placed  the food wasn t long after  Being that i saw the kitchen staff standing   talking  But other than that  it was good ,3,2015-03-05
The lobster roll was so yummy I actually finished the whole thing  Had a bite of the sliders my girlfriend ordered and it was also very tasty   My fianc  ordered the prime beef  he didn t enjoy it as much as he has hoped   It was a little bland and chewy  Standard quality cocktails  nothing to write home about  Overall satisfactory dining experience ,4,2014-05-08
We shared the lobster roll and pastrami sliders  Side order of duck fat French fries  Needed to get rolled out of there but worth every calorie  I like the casual and friendly atmosphere  This is a very fun place with an impressive beer selection   I could see spending an afternoon trying beer and special treats  Ohhh   lobster rolls    ,5,2012-07-17
This is a great gastropub  In general  restaurants in Vegas are pricey  and I feel do not frequently deliver in quality  This place is certainly an exception  Well priced and food is delicious  Servings are large and savory  Junk chips appetizer was tasty and filled me up in less than a quarter of serving  I shared lamb pita and lobster rolls with my friend  and both were excellent and filling  Service was also outstanding  waitress was friendly  attentive  and helpful  Food was served relatively fast too  I would definitely recommend this restaurant for a solid reasonably priced dinner in Vegas ,5,2015-11-06
The food has huge portions and was overall  REALLY good   The pretzels were perfectly cooked on the outside and soft on the inside with a delicious cheese  and the mussels with thai red curry sauce were AMAZING   The burger we got was mediocre  though    I think the flavors were really really lacking  and the beer was pretty expensive      for a Belgian ale    However  this is still a pretty perfect meal after a long night out   just skip the burger ,4,2015-07-28
My favorite place to visit for a pint and appetizers while in Vegas ,5,2014-05-26
I want to like this place more   and maybe I will as I try more of the menu     I love the the actual space and atmosphere   And the beer list is quite good   The service is sometimes great and sometimes poor   Its varied pretty wildly   I have yet to be blown away by any of the food   None of it has been bad   in fact  it has all been good   But none of it has been great   None of it has been crave worthy   None of it has been  I have to have that again  ,3,2010-11-23
Great experience  A little pricy but well worth it  I got the Prime Rotisserie Sandwich       my wife for the P U B Reuben       both were great but the Reuben was out of this world  Both could come down in price      but still worth it  The waiter we had was super awesome and entertaining  Stig was his name  Bald head and long beard  Hope you get him ,5,2017-09-20
Bathroom attendant   Oh God   And the worst kind   the ones that immediately offer you soap and paper towels as you try to do the usual handwashing process   No  you don t care how my day was  and I don t care how your day was   I just want to use the damn bathroom after my meal without having to deal with some unisex bathroom attendant   Beer prices were among the highest on the strip but the selection was good in quality for how many they had   Even though other places had more taps  like the pub at Monte Carlo   this place seemed to have a more diverse selection of styles   regions   Very clean  pleasant atmosphere   Service was pleasant   Nice shopping area too   But please lose the bathroom attendant ,3,2010-10-06
This place rocks   Here s the short list after eight separate visits with multiple guest and trying almost the entire menu       For starters   the clams or P E I s  Perfectly cooked with a bit of spice       The pot pie and Shepard s pie are incredible       Carvery is the winner   Brisket is top choice   Salmon is perfect choice for the fish lover   Perfect crispy skin and moist in the middle       Beer   make it the TUB   Locally brewed in LV   Very well balanced with the food at the PUB   All around fun and cool place to enjoy lunch   Try the beer challenge and enjoy tossing the peanut shells on the ground at the bar while you wait for your food   Must try ,4,2010-11-23
Came here for some lunch as we got a recommendation from the hotel staff   As you walk into the establishment  between Aria Hotel and Crystals   it looks as though I ve stepped into a British pub in England   Clean and nice decor     We review the menu and was told that there was a lunch special           which included BBQ Ribs  Brisket along with cole slaw and baked beans   The special also includes a beer   We decided to try it as it seemed like a decent deal to share for the two of us   The brisket was very good as there was a lot of flavor and it was really  really well cooked   The ribs were alright  although the barbeque glaze on top of the ribs was really strong    The cole slaw was good and light  but the beans to me were really sweet     a little too sweet for me   All in all  it was a good experience  although I would definitely like the opportunity to try the Fish and Chips next time I m in Vegas ,3,2012-05-29
I was excited to try this place but the food just wasn t that good  Trust me  I really want to like this place  With that said  it s a fun pub and we went back for beers again  They do have really good service but the food is overpriced and terribly mediocre  Also  basic beers are at least     a pint  I know this is Vegas but c mon  A Fat Tire is      You gotta be kiddin  me ,2,2011-04-29
Came here for happy hour  The selection of food for happy hour is mediocre  wings  oysters  and sliders pretty much  but the half off draft beer is a winner  They have a large selection of craft beers and when you get there for happy hour they come out to be between     instead of        The one salad we had was pretty tasty and plentiful  but spendy for a salad   I don t know if I would come here outside of happy hour  but you never know when you re in Vegas anything goes ,4,2013-07-03
